ID,Name,Description,Tier,Cost,Base HP,Base PWR,Ability 1 Name,Ability 1 Desc,Ability 2 Name,Ability 2 Desc,Ability 3 Name,Ability 3 Desc
item_t1_a,Koi's Blessing,A gentle remedy infused with the spirit of koi.,1,1,0,0,Restoration,"At the start of the turn, Heal the holder for 2 HP. [Target: HOLDER]",,,,
item_t1_b,Tiger's Spirit,A fierce elixir that awakens inner strength.,1,1,0,0,Extra Attack,"When attacking, if target has more HP than holder then perform an extra attack. [Target: ATTACK_TARGET] [Trigger: CAUSE_TURN]",,,,
item_t2_a,Summoning Scroll,A scroll containing a summoning spell.,2,2,0,0,Summon,A scroll containing a summoning spell.,,,,
item_t2_b,Bloodlust Edge,A blade thirsty for blood.,2,2,0,0,Bloodlust,"When the holder defeats an enemy, they act again immediately. [Target: HOLDER]",,,,
item_t2_c,Phoenix Elixir,A restorative brew that renews body and spirit.,2,2,0,0,Regeneration,"When hurt BY AN ATTACK, Heal this unit by 1 HP and gain 1 PWR. [Target: HOLDER]",,,,
item_t2_d,Echoing Orb,A resonant orb that amplifies the power of others.,2,2,0,0,Resonance,Grants the holder +2 PWR for each other Echoing Orb in battle.,Echo Split,Spawns an Echoing Orb into the Tier 2 Gacha Machine on death.,,
item_t3_a,Heart Stone,A stone pulsating with life.,3,4,0,0,Vital Link,"When the holder is hurt BY AN ATTACK, heal two random allies for 2 HP each. [Target: RANDOM_ALLY]",,,,
item_t3_b,Power Amulet,An ancient amulet of power.,3,4,0,0,Battle Cry,"When the holder attacks, grant +2 PWR to two random allies. [Target: NONE]",,,,
item_t3_c,Lifesteal Ring,A ring that feeds on the living.,3,4,0,0,Vampiric Strike,"On attack, heal the holder for 20% of damage dealt (min 1 HP). [Target: HOLDER]",,,,
item_t3_d,Vengeful Thorn,A thorny charm that strikes back at those who harm its bearer.,3,4,0,0,Retaliation,"When hurt BY AN ATTACK, deal half of the holder's PWR as damage to a random enemy. [Target: RANDOM_ENEMY] [Trigger: CAUSE_ATTACK]",,,,
item_t3_e,Death's Bargain,A cursed bargain with death.,3,4,0,0,Final Strike,When the holder dies deal damage equal to half of the highest HP enemy's HP to that enemy.,,,,
item_t3_f,Soul Siphon,A dark siphon of souls.,3,4,0,0,Power Drain,After dealing damage steal half of target's PWR (min 1). [Target: DEFENDER],,,,
item_t3_g,Sniper Aim,A scope for precise targeting.,3,4,0,0,,,,,,
consumable_potion_plunder,Potion of Plunder,Steals a random item from the target.,3,0,0,0,Plunder,Steals a random item from the target.,,,,
item_emblem_air,Air Emblem,"When equipped, grants +2 HP, +1 PWR, and the [b]Air[/b] soul, allowing the unit to benefit from Air trait synergies.",3,3,0,0,,,,,,
item_emblem_earth,Earth Emblem,"When equipped, grants +4 HP and the [b]Earth[/b] soul, allowing the unit to benefit from Earth trait synergies.",3,3,0,0,,,,,,
item_emblem_fire,Fire Emblem,"When equipped, grants +2 PWR and the [b]Fire[/b] soul, allowing the unit to benefit from Fire trait synergies.",3,3,0,0,,,,,,
item_emblem_water,Water Emblem,"When equipped, grants +2 HP, +1 PWR, and the [b]Water[/b] soul, allowing the unit to benefit from Water trait synergies.",3,3,0,0,,,,,,
item_potion_t1,Minor Healing Potion,Restores 4 HP to a target unit.,1,2,0,0,Drink,Restores 4 HP.,,,,
