ID,Name,Description,Tier,Cost,Base HP,Base PWR,Ability 1 Name,Ability 1 Desc,Ability 2 Name,Ability 2 Desc,Ability 3 Name,Ability 3 Desc
trinket_polished_plate,Polished Plate,A perfectly polished piece of armor.,0,0,0,0,,,,,,
ability_trinket_aegis,Aegis Charm,"Once per turn: When an ally would die, they survive with 1 HP instead.",0,0,0,0,,,,,,
trinket_armor_aura,Armor Aura,An aura that hardens the resolve of allies.,0,0,0,0,Armor Aura,"At turn start, all allies gain 3 Armor.",,,,
trinket_awe_inspiring_totem,Awe Inspiring Totem,"At turn start, if there is a Tier 3 or Level 3 unit in the lineup, grants +1 HP and +1 PWR to all other lower tier and level units.",0,10,0,0,,,,,,
trinket_bargain_charm,Bargain Charm,A charm that haggles for a better price.,0,0,0,0,Bargain Charm,"Gacha draws cost 1 token less (minimum 1) once per machine, per turn. Valid for battles only. Player exclusive.",,,,
trinket_beginners_charm,Beginner's Charm,Minigames: Gain 1 extra token if the mastery level of the answered flashcard is 1 (Very Hard).,0,0,0,0,,,,,,
trinket_burn_vial,Burn Vial,ability.burn_vial.desc,0,0,0,0,,,,,,
trinket_hero_catalyst,Hero's Catalyst,"Whenever an ally merges, grants +1 HP and +1 PWR to your Hero.",3,0,0,0,Hero's Catalyst,Grants the Hero +1 HP and +1 PWR on any merge.,,,,
trinket_merge_damage_charm,Fusion Spark,A charm that weaponizes fusion.,0,0,0,0,Fusion Spark,"Whenever a merge is performed on the battle board, deal 3 damage to a random enemy unit.",,,,
trinket_purifying_pendant,Purifying Pendant,"When an ally takes damage from a negative status effect, removes all remaining stacks of that effect.",0,10,0,0,,,,,,
trinket_royal_insignia,Royal Insignia,A medal signifying royal favor.,0,0,0,0,Royal Blessing,"When a Tier 1 unit is drawn, grant it +1 HP and +1 PWR.",,,,
trinket_rusty_ring,Rusty Ring,Grants +1 HP and +1 PWR to all units with no equipment. Equipping an item cancels this buff.,0,10,0,0,Rusty Ring,Grants +1 HP and +1 PWR to all units with no equipment. Equipping an item cancels this buff.,,,,
trinket_soul_echo,Soul Echo,A mystical gem that echoes the souls of the fallen.,0,0,0,0,Soul Echo,"When an ally dies, resurrect the first non-hero unit that died this turn.",,,,
trinket_spiked_armor,Spiked Armor,"At turn start, the frontmost unit gains 2 Armor and 2 [color=#44CC44]Spikes[/color].",2,0,0,0,Spiked Armor,"At turn start, the frontmost unit gains 2 Armor and 2 [color=#44CC44]Spikes[/color].",,,,
trinket_time_sprint_charm,Sprint Charm,A charm that bends time.,0,0,0,0,Time Sprint,Minigame timer gets a flat 2-second increase in battle.,,,,
trinket_token_return_charm,Token Return Charm,A charm that reclaims spent potential.,0,0,0,0,Token Return,The first unit to die each round returns tokens equivalent to its tier.,,,,
trinket_trait_air,Air Trait,Enables the Air trait whenever your team has enough Air souls.,0,0,0,0,,,,,,
trinket_trait_earth,Earth Trait,Enables the Earth trait whenever your team has enough Earth souls.,0,0,0,0,,,,,,
trinket_trait_fire,Fire Trait,Enables the Fire trait whenever your team has enough Fire souls.,0,0,0,0,,,,,,
trinket_trait_water,Water Trait,Enables the Water trait whenever your team has enough Water souls.,0,0,0,0,,,,,,
trinket_trinity_charm,Trinity Charm,"If you draw at least once from each tier machine (1, 2, and 3) in a turn or encounter, gain 1 Token.",0,10,0,0,Trinity Charm,"If you draw at least once from each tier machine (1, 2, and 3) in a turn or encounter, gain 1 Token.",,,,
trinket_twin_charm,Twin Charm,A mirrored charm that reflects its surroundings.,0,0,0,0,Shared Reflection,Your units gain +1 PWR for every 2 copies of that same unit in your battle pool.,,,,
trinket_underdog_emblem,Underdog Emblem,An emblem that protects the outnumbered.,0,0,0,0,Outnumbered Bulwark,"At turn start, if your team has fewer units than the enemy, all allies gain 2 Armor for each unit difference.",,,,
ability_trinket_vengeance,Vengeance Charm,"When an ally dies, grant +1 HP and +1 PWR to a random ally.",0,0,0,0,,,,,,
trinket_veteran_insignia,Veteran Insignia,A badge of honor for seasoned warriors.,0,0,0,0,Veteran Blessing,"When a level 2 or 3 unit is drawn, summoned, or merged, grant it +1 HP and +1 PWR.",,,,
