ID,Name,Description,Tier,Cost,Base HP,Base PWR,Ability 1 Name,Ability 1 Desc,Ability 2 Name,Ability 2 Desc,Ability 3 Name,Ability 3 Desc
boss_1,The Awakened Guardian,A powerful guardian that summons allies and grows stronger as you draw from the gacha machines.,3,5,6,6,,,,,,
boss_2,The Shadow Warden,Drains power from every token you spend. Calls upon shadow creatures to fight alongside it.,3,10,8,8,,,,,,
boss_3,The Storm Herald,Grows stronger as allies fall around it. Commands reinforcements to join its ranks.,3,15,10,10,,,,,,
boss_4,The Ancient Titan,An ancient being that summons warriors from ages past.,3,20,12,12,,,,,,
boss_5,The Final Arbiter,The ultimate challenge. Defeat it to complete your run.,3,25,15,15,,,,,,
enemy_hero,Enemy Hero,The enemy's champion.,0,0,10,2,,,,,,
hero_avenger,Avenger,A fierce warrior who strikes when allies fall.,0,0,6,2,Leap Attack,"When an ally dies, leap and attack the frontmost enemy. [Target: FRONTMOST_ENEMY]",,,,
hero_bastion,Bastion,A steadfast defender who grows stronger as allies fall.,0,0,10,2,Fortify,"When an ally dies, gain 1 Armor and 1 Spikes. Armor does not decay at the end of the turn. [Target: SELF]",,,,
hero_pyro,Pyromancer,A fiery mage who incinerates enemies instead of striking them.,0,0,8,2,Incinerate,"On attack, instead of dealing damage, apply Burn stacks equal to your Power. [Target: ATTACK_TARGET]",,,,
hero_starter,Starter,A supportive hero who absorbs the power of fallen allies. Guarantees at least 3 tokens from every minigame. Recommended for trying a new deck.,0,0,10,2,Soul Harvest,"When an ally dies, gain HP equal to their PWR. [Target: SELF]",,,,
hero_timekeeper,Timekeeper,A scholarly mage who grants +2 HP to units in front and +2 PWR to units behind at turn start. Masters time to extend the minigame timer.,0,0,50,2,Time Warp,"Minigame: +1s correct, -0.5s wrong. Gains 5 tokens per turn in Battle and Rest Sites.",Temporal Aura,"At the start of each turn, grants +2 HP to units in front and +2 PWR to units behind. [Target: ALLIES_IN_FRONT]",,
unit_dust_elite_t1,Dust Guard (T1),"A guard. Spawns a Dust unit (T1) on Turn Start, Attack, or Ally Death. Gains HP and PWR based on the tier of any dying Dust unit.",1,3,3,3,Call Reinforcements,"At end of turn, summon units to fill empty team slots. [Target: SELF]",Dust Pulse (Death T1),Spawns a T1 Dust unit when an Ally dies. [Target: TRIGGERING_ENTITY],Dust Growth,"Gains HP and PWR based on the tier of any dying Dust unit (e.g., +1/+1 for T1, +2/+2 for T2). [Target: SELF]"
unit_dust_t1,Dust Minion (T1),A fragile construct. Stays in the fight.,1,1,1,1,Basic Attack,Deal (PWR) damage to the frontmost enemy.,,,,
